,title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,revenue,revenue_processed,cpi
0,Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,Crime,0 days 01:56:00,The Brattle,5/24/24,4:00 PM,https://en.wikipedia.org/wiki/Ghost_Dog:_The_Way_of_the_Samurai,$9.3 million,9.3,166.5833333
1,Big Trouble in Little China,John Carpenter,1986,Comedy,0 days 01:40:00,Coolidge Corner Theatre,5/24/24,11:59 PM,https://en.wikipedia.org/wiki/Big_Trouble_in_Little_China,$11.1 million,11.1,109.6916667
2,Young Frankenstein,Mel Brooks,1974,Comedy,0 days 01:46:00,The Brattle,5/25/24,12:00 PM,https://en.wikipedia.org/wiki/Young_Frankenstein,$86.2 million[3],86.2,49.31666667
3,Kind Hearts and Coronets,Robert Hamer,1949,Comedy,0 days 01:44:00,The Brattle,5/25/24,2:30 PM,https://en.wikipedia.org/wiki/Kind_Hearts_and_Coronets,"£224,853[1]",0.224853,23.80916667
4,Stop Making Sense,Jonathan Demme,1984,Documentary,0 days 01:28:00,The Brattle,5/25/24,10:00 PM,https://en.wikipedia.org/wiki/Stop_Making_Sense,"(Original 1984 Release) $5,389,431[2]
(2023 Re-Release) $6,915,675[3]

(Box Office Total) $12.4 million[4]",1984,103.9333333
5,Black Rain,Ridley Scott,1989,Drama,0 days 02:05:00,Coolidge Corner Theatre,5/25/24,11:59 PM,https://en.wikipedia.org/wiki/Black_Rain_(1989_American_film),$134.2 million[2],134.2,123.9416667
6,Ring,Hideo Nakata,1998,Horror,0 days 01:36:00,Somerville Theatre,5/25/24,11:59 PM,https://en.wikipedia.org/wiki/Ring_(film),$19.5 million (est.),19.5,163.0083333
7,Poetry,Lee Chang-dong,2010,Drama,0 days 02:19:00,Museum of Fine Arts,5/25/24,2:30 PM,https://en.wikipedia.org/wiki/Poetry_(film),US$2.2 million[1],2.2,218.0761667
8,On the Town,"Stanley Donen, Gene Kelly",1949,Music,0 days 01:38:00,The Brattle,5/26/24,12:00 PM,https://en.wikipedia.org/wiki/On_the_Town_(film),$4.4 million[2],4.4,23.80916667
9,Audition,Takashi Miike,1999,Horror,0 days 01:55:00,The Brattle,5/26/24,9:00 PM,https://en.wikipedia.org/wiki/Audition_(1999_film),"$131,296 (United States)[5]",0.131296,166.5833333
10,In a Lonely Place,Nicholas Ray,1950,Drama,0 days 01:34:00,Somerville Theatre,5/27/24,9:00 PM,https://en.wikipedia.org/wiki/In_a_Lonely_Place,$1.4 million[1],1.4,24.0625
11,Kind Hearts and Coronets,Robert Hamer,1949,Comedy,0 days 01:44:00,The Brattle,5/27/24,12:00 PM,https://en.wikipedia.org/wiki/Kind_Hearts_and_Coronets,"£224,853[1]",0.224853,23.80916667
12,All About My Mother,Pedro Almodóvar,1999,Comedy,0 days 01:41:00,The Brattle,5/27/24,2:30 PM,https://en.wikipedia.org/wiki/All_About_My_Mother,$67.8 million,67.8,166.5833333
13,Heathers,Michael Lehmann,1989,Comedy,0 days 01:43:00,Coolidge Corner Theatre,5/27/24,7:00 PM,https://en.wikipedia.org/wiki/Heathers,$1.1 million[6],1.1,123.9416667
14,"Sorry, Wrong Number",Anatole Litvak,1948,Thriller,0 days 01:29:00,Somerville Theatre,5/27/24,7:15 PM,"https://en.wikipedia.org/wiki/Sorry,_Wrong_Number",$2.8 million (U.S. rentals)[1],2.8,24.045
15,Spider-Man: Far From Home,Jon Watts,2019,Action,0 days 02:09:00,Coolidge Corner Theatre,5/27/24,9:30 PM,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home,$1.133 billion[3],1133,255.6525833
16,Beau Travail,Claire Denis,2000,Drama,0 days 01:32:00,The Brattle,5/28/24,8:30 PM,https://en.wikipedia.org/wiki/Beau_Travail,"$570,000[1]",0.57,172.1916667
17,Whisper of the Heart,Yoshifumi Kondo,1995,Animation,0 days 01:51:00,Coolidge Corner Theatre,5/28/24,7:00 PM,https://en.wikipedia.org/wiki/Whisper_of_the_Heart,¥3.15 billion (Japan)[1],3150,152.3833333
18,A Woman Under the Influence,John Cassavetes,1974,Drama,0 days 02:35:00,The Brattle,5/29/24,4:00 PM,https://en.wikipedia.org/wiki/A_Woman_Under_the_Influence,$6.1 million (N. American rentals)[1][2],6.1,49.31666667
19,The Wind Rises,Hayao Miyazaki,2013,Drama,0 days 02:06:00,Coolidge Corner Theatre,5/29/24,7:00 PM,https://en.wikipedia.org/wiki/The_Wind_Rises,US$136.5 million[3][4],136.5,232.95175
20,Train to Busan,Yeon Sang-ho,2016,Horror,0 days 01:58:00,Museum of Fine Arts,5/30/24,7:00 PM,https://en.wikipedia.org/wiki/Train_to_Busan,$98.5 million[3],98.5,240.0054167
21,But I'm a Cheerleader,Jamie Babbit,2000,Comedy,0 days 01:25:00,The Brattle,5/30/24,5:00 PM,https://en.wikipedia.org/wiki/But_I'm_a_Cheerleader,$2.6 million[1],2.6,172.1916667
22,Freaky Friday,Mark Waters,2003,Comedy,0 days 01:37:00,Coolidge Corner Theatre,5/30/24,7:15 PM,https://en.wikipedia.org/wiki/Freaky_Friday_(2003_film),$160.8 million[3],160.8,184
23,Return to Reason: Four Films by Man Ray,Man Ray,2024,Drama,0 days 01:10:00,The Brattle,5/31/24,4:30 PM,https://en.wikipedia.org/wiki/Abigail_(2024_film),$42.4 million[4][5],42.4,312.513125
24,Snowpiercer,Bong Joon-ho,2013,Action,0 days 02:07:00,Museum of Fine Arts,5/31/24,7:00 PM,https://en.wikipedia.org/wiki/Snowpiercer,$86.8 million[9],86.8,232.95175
25,Darkman,Sam Raimi,1990,Action,0 days 01:35:00,Coolidge Corner Theatre,6/1/24,11:59 PM,https://en.wikipedia.org/wiki/Darkman,$48.8 million[4],48.8,130.6583333
26,Minari,Lee Isaac Chung,2021,Drama,0 days 01:55:00,Museum of Fine Arts,6/2/24,2:30 PM,https://en.wikipedia.org/wiki/Minari_(film),$15.5 million[4][5],15.5,270.9658333
27,12 Angry Men,Sidney Lumet,1957,Drama,0 days 01:37:00,Coolidge Corner Theatre,6/3/24,7:00 PM,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film),$2 million (rentals)[5],2,28.11333333
28,Spider-Man: No Way Home,Jon Watts,2021,Action,0 days 02:28:00,Coolidge Corner Theatre,6/3/24,9:30 PM,https://en.wikipedia.org/wiki/Spider-Man:_No_Way_Home,$1.927 billion[3][4],1927,270.9658333
