name,url,year,prize,desc
Pierre Agostini,https://www.nobelprize.org/prizes/physics/2023/agostini/facts/,2023,The Nobel Prize in Physics,“for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter”
Ferenc Krausz,https://www.nobelprize.org/prizes/physics/2023/krausz/facts/,2023,The Nobel Prize in Physics,“for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter”
Anne L’Huillier,https://www.nobelprize.org/prizes/physics/2023/lhuillier/facts/,2023,The Nobel Prize in Physics,“for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter”
Moungi Bawendi,https://www.nobelprize.org/prizes/chemistry/2023/bawendi/facts/,2023,The Nobel Prize in Chemistry,“for the discovery and synthesis of quantum dots”
Louis Brus,https://www.nobelprize.org/prizes/chemistry/2023/brus/facts/,2023,The Nobel Prize in Chemistry,“for the discovery and synthesis of quantum dots”
Aleksey Yekimov,https://www.nobelprize.org/prizes/chemistry/2023/yekimov/facts/,2023,The Nobel Prize in Chemistry,“for the discovery and synthesis of quantum dots”
Katalin Karikó,https://www.nobelprize.org/prizes/medicine/2023/kariko/facts/,2023,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19”
Drew Weissman,https://www.nobelprize.org/prizes/medicine/2023/weissman/facts/,2023,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19”
Jon Fosse,https://www.nobelprize.org/prizes/literature/2023/fosse/facts/,2023,The Nobel Prize in Literature,“for his innovative plays and prose which give voice to the unsayable”
Narges Mohammadi,https://www.nobelprize.org/prizes/peace/2023/mohammadi/facts/,2023,The Nobel Peace Prize,“for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all”
Claudia Goldin,https://www.nobelprize.org/prizes/economic-sciences/2023/goldin/facts/,2023,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for having advanced our understanding of women’s labour market outcomes”
Alain Aspect,https://www.nobelprize.org/prizes/physics/2022/aspect/facts/,2022,The Nobel Prize in Physics,"“for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science”"
John Clauser,https://www.nobelprize.org/prizes/physics/2022/clauser/facts/,2022,The Nobel Prize in Physics,"“for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science”"
Anton Zeilinger,https://www.nobelprize.org/prizes/physics/2022/zeilinger/facts/,2022,The Nobel Prize in Physics,"“for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science”"
